Article_Title,PMC_ID,DOI,ACK,ACKNOWLEDGEMENT,FUNDING,FOOTNOTES
Clinical research reactivation during the COVID-19 pandemic: An academic center process and lessons for the future,10139738,na,NA,Supported in part by NIH/NCATS Colorado CTSA Grant Number UL1 TR002535. Contents are the authors’ sole responsibility and do not necessarily represent official NIH views. We would like to thank our team members who helped develop the REDCap Database - Todd Miller and Sara Deakyne Davies; Environmental Health and Safety - Alison McGrath and Ethan Carter; Occupational Health - Cody Coburn; and Esther Martinez for coordinating endless meetings among many conflicting schedules.,NA,NA
"ADHD symptoms and diagnosis in adult preterms: systematic review, IPD meta-analysis, and register-linkage study",10132969,10.1038/s41390-021-01929-1,NA,"We would like to thank the entire RECAP project team, as well as all the participants, their families, the doctors, nurses, and research assistants from each of the cohorts.","This work was supported by funding from the European Union Horizon 2020 Grant # 733280 for RECAP, the European Commission NORFACE Dynamics of Inequality Across the Life course Grant #724363 (University of Warwick No. 462.16.100; University of Helsinki 462.16.101) for PremLife, Academy of Finland Grant #315690, 323910, 128459, 12848591, 1312670, 1324596, 330206, NHMRC (Australia) Grant #1153176; #1104300, #1176077, MRFF (Australia) #1141354, The Foundation for Pediatric Research (Finland), Sigrid Juselius Foundation; Signe and Ane Gyllenberg Foundation; Novo Nordisk Foundation. Open Access funding provided by University of Helsinki including Helsinki University Central Hospital.",NA
"Perceptions of primary health care workers regarding violence against
women",10132841,10.1590/1980-220X-REEUSP-2021-0097,NA,NA,NA,NA
"Neoliberalism and precarious work in nursing in the COVID-19
pandemic: repercussions on mental health",10132838,10.1590/1980-220X-REEUSP-2021-0257,NA,NA,NA,NA
"Coping moderates the relationship between intolerance of uncertainty
and stress in men during the Covid-19 pandemic",10132738,na,NA,NA,NA,NA
Intermittent administration of peracetic acid is a mild environmental stressor that elicits mucosal and systemic adaptive responses from Atlantic salmon post-smolts,10127346,10.1186/s40850-021-00100-x,NA,"This paper is part of the first author’s (J. Osorio) MSc thesis submitted to the Faculty of Veterinary Medicine, University of Lisbon, Portugal. J. Osorio wishes to acknowledge the ERASMUS+ Student Mobility Programme for financing his 5-month research stay at Nofima. The assistance of the technical staff (Bernhard Eckel, Yuriy Marchenko, Jascha Gerwins) at NCRA during the fish is also acknowledged. The fish experiment adheres to the ARRIVE guidelines (http://www.nc3rs.org.uk/page.asp?id=1357) (Supplementary File 2). We acknowledged the constructive comments of the two anonymous reviewers that improved the scientific quality of this paper.",The study received funding from the Research Council of Norway (ref. 237856) and the Norwegian Seafood Research Fund (ref 901472).,NA
Asymmetry of the male internal reproductive organs in Mantophasmatodea,10127319,10.1186/s40850-021-00105-6,"We would like to thank Dr. Gabriele Uhl for conducting the μ-CT-scan. We thank Heidi Land for excellent help and advice during paraffin embedding and sectioning and Philip M. Steinhoff for advice concerning CPD and AMIRA handling. We thank Laura Schult for production and staining of histological sections of one K. biedouwense specimen. Mike D. Picker kindly provided the photograph of a heelwalker mating couple (Fig. 1a). We are grateful to Michael “Theo” Schmitt and two anonymous reviewers for helpful comments on a previous version of the manuscript. Cape Nature, Western Cape, is thanked for permit AAA007-00020-0035, and the Department of Tourism, Environment and Conservation, Northern Cape, is thanked for collection permit ODB1339/2007, No. 0538/07.",NA,Open Access funding enabled and organized by Projekt DEAL. This work was funded by the German Research Foundation (DFG EB533/2–1).,NA
"Spatial variation of life-history traits in Bulinus truncatus, the intermediate host of schistosomes, in the context of field application of niclosamide in Côte d’Ivoire",10127057,10.1186/s40850-021-00104-7,NA,"The authors wish deeply to thank Prof. David Rollinson, Dr. Fiona Allan and Dr. Bonnie Webster from the Natural History Museum, London, UK for their assistance in snail study and niclosamide applying, as well as the health personnel for their help during the field surveys. We also thank all the village leaders for their collaboration. We are grateful to the managers of the “Ecole Normale Supérieure (ENS) de Côte d’Ivoire” for the use of their laboratory and of the “Institut National de Santé Publique (INHP) de Côte d’Ivoire” for providing two of their experienced applicators.","This study was financially supported by sub-award from the University of Georgia Research Foundation for the Schistosomiasis Consortium for Operational Research and Evaluation (SCORE) project, which was awarded by the Bill & Melinda Gates Foundation (prime award no. 50816). The funder had no role in study design, data collection, analysis, interpretation and preparation of the manuscript.",NA
Morphological differences in tardigrade spermatozoa induce variation in gamete motility,10127009,10.1186/s40850-022-00109-w,NA,"We thank to Dr. Takekazu Kunieda (University of Tokyo), Dr. Kazuharu Arakawa (Keio University) and Naoko Ishii (Keio University) for providing us the tardigrades we used. We also thank to Dr. Atsushi C. Suzuki (Keio University) for supporting the SEM experiments. We would like to thank to Dr. Ryuji Yanase, Dr. Kei Jokura, Dr. Yu Sato, Dr. Misa Shibata, Dr. Nana Terauchi, Sayaka Yamaguchi (University of Tsukuba) and Osamu Horiguchi (Okinawa Institute of Science and Technology) for supporting our study.","This study was supported in part by KAKENHI Grant-in-Aids from the Japan Society for the Promotion of Science (JSPS) and Grant-in-Aid for Scientific Research in Innovative Areas –Platforms for Advanced Technologies and Research Resource “Advanced Bioimaging Support” for JSPS Fellow PD (JP18J21345 and 20D-19C-010-L08 to KeS), and a grant for Research Project from Research and Education Center for Natural Science (Keio University) to MM and KeS.",NA
Behavioral-psychological motivations encoded in the vocal repertoire of captive Amur tiger (Panthera tigris altaica) cubs,10127000,10.1186/s40850-021-00102-9,"We sincerely thank Jiahui Qiu for his support, the staff of Harbin Amur Tiger Park for collecting data, and Jingxuan Wang and Heqin Cao for processing the data.",NA,"This study was funded by the Fundamental Research Funds for the Central Universities (2572017PZ14), the National Key Programme of Research and Development, Ministry of Science and Technology (2016YFC0503200) and NSFC (31872241) to Guangshun Jiang.",NA
